번호,자전거보관소명,위도,경도,보관대수,관리기관명,관리기관전화번호
1,안지랑역 2번출구,35.839076,128.573687,12,대구광역시 남구청,053-664-3018
2,성당못역 3번출구 서부정류장 앞,35.837044,128.557307,26,대구광역시 남구청,053-664-3018
3,성당못역 3번출구 동남편,35.8367855,128.5577515,42,대구광역시 남구청,053-664-3018
4,대명역 3번출구,35.8389521,128.5653048,10,대구광역시 남구청,053-664-3018
5,현충로역 4번출구,35.841139,128.581123,14,대구광역시 남구청,053-664-3018
6,현충로역 3번출구,35.8405658,128.5812962,21,대구광역시 남구청,053-664-3018
7,현충로역 2번출구,35.840315,128.5808162,14,대구광역시 남구청,053-664-3018
8,현충로역 1번출구,35.8407324,128.5804107,14,대구광역시 남구청,053-664-3018
9,영대병원역 2번출구,35.844325,128.588708,42,대구광역시 남구청,053-664-3018
10,영대병원역 3번출구,35.844766,128.588744,14,대구광역시 남구청,053-664-3018
11,대명역 4번출구,35.839566,128.565496,14,대구광역시 남구청,053-664-3018
12,안지랑역 4번출구,35.839513,128.574512,14,대구광역시 남구청,053-664-3018
13,안지랑역 1번출구,35.8396648,128.5737281,14,대구광역시 남구청,053-664-3018
14,안지랑역 3번출구 (정관장 앞),35.838936,128.5744147,14,대구광역시 남구청,053-664-3018
15,교대역 1번출구,35.850754,128.5903344,13,대구광역시 남구청,053-664-3018
16,교대역 2번 출구,35.850739,128.590777,5,대구광역시 남구청,053-664-3018
17,교대역 3번출구(성토마스성당앞),35.851167,128.590785,27,대구광역시 남구청,053-664-3018
18,대구교대 입구 우측편,35.853071,128.590341,5,대구광역시 남구청,053-664-3018
19,대구교대 입구 좌측편,35.8524011,128.590379,4,대구광역시 남구청,053-664-3018
20,새마을금고 대명3동 지점 앞,35.8587641,128.5766802,14,대구광역시 남구청,053-664-3018
21,명덕네거리 배달한의원 앞,35.856501,128.5932107,14,대구광역시 남구청,053-664-3018
22,성당못네거리 성주막창 앞,35.8383292,128.5583832,14,대구광역시 남구청,053-664-3018
23,국민은행 봉덕동 지점 앞,35.845134,128.5987106,10,대구광역시 남구청,053-664-3018
